timestamp,open,high,low,close,volume,vwap
2026-08-28T18:33:00Z,769.07,769.19,769.04,769.19,27802,769.102716
2026-08-28T18:34:00Z,769.19,769.48,769.165,769.37,37242,769.35299
2026-08-28T18:35:00Z,769.38,769.58,769.34,769.42,31886,769.470564
2026-08-28T18:36:00Z,769.4,769.46,769.26,769.31,156573,769.342877
2026-08-28T18:37:00Z,769.3,769.36,769.19,769.21,32613,769.287377
2026-08-28T18:38:00Z,769.2,769.22,769.06,769.21,31371,769.142881
2026-08-28T18:39:00Z,769.19,769.24,769.11,769.11,40669,769.172006
2026-08-28T18:40:00Z,769.11,769.39,769.11,769.38,39022,769.286298
2026-08-28T18:41:00Z,769.39,769.39,769.2,769.22,41926,769.30285
2026-08-28T18:42:00Z,769.24,769.24,769.04,769.1,44527,769.094628
2026-08-28T18:43:00Z,769.11,769.15,769.03,769.11,66174,769.093034
2026-08-28T18:44:00Z,769.1,769.32,769.1,769.315,25753,769.188263
2026-08-28T18:45:00Z,769.27,769.305,769.13,769.18,22129,769.193253
2026-08-28T18:46:00Z,769.175,769.2,769.02,769.05,26077,769.136137
2026-08-28T18:47:00Z,769.05,769.14,769.01,769.1,21357,769.067415
2026-08-28T18:48:00Z,769.05,769.09,768.78,768.8,32676,768.956532
2026-08-28T18:49:00Z,768.8,768.88,768.72,768.77,36472,768.79932
2026-08-28T18:50:00Z,768.76,768.76,768.42,768.46,68796,768.56196
2026-08-28T18:51:00Z,768.46,768.57,768.37,768.5,102858,768.500033
2026-08-28T18:52:00Z,768.51,768.54,768.31,768.38,44015,768.435018
2026-08-28T18:53:00Z,768.39,768.67,768.31,768.67,60515,768.432236
2026-08-28T18:54:00Z,768.66,768.67,768.53,768.56,31253,768.582878
2026-08-28T18:55:00Z,768.52,768.54,768.37,768.52,50469,768.426945
2026-08-28T18:56:00Z,768.54,768.7,768.49,768.686,42804,768.557776
2026-08-28T18:57:00Z,768.69,768.72,768.61,768.68,40418,768.667048
2026-08-28T18:58:00Z,768.69,768.76,768.57,768.76,39806,768.656029
2026-08-28T18:59:00Z,768.77,768.79,768.66,768.68,34313,768.741257
2026-08-28T19:00:00Z,768.68,768.78,768.47,768.4801,46343,768.640376
2026-08-28T19:01:00Z,768.5,768.91,768.49,768.91,41267,768.646839
2026-08-28T19:02:00Z,768.89,768.92,768.69,768.78,29835,768.838385
2026-08-28T19:03:00Z,768.77,768.9,768.72,768.86,34001,768.814125
2026-08-28T19:04:00Z,768.84,768.95,768.755,768.8,25914,768.855757
2026-08-28T19:05:00Z,768.79,769.03,768.7101,768.96,69528,768.929132
2026-08-28T19:06:00Z,768.95,769.0,768.77,768.78,34303,768.897224
2026-08-28T19:07:00Z,768.77,769.0,768.77,768.9993,34864,768.8609
2026-08-28T19:08:00Z,769.0,769.17,768.925,769.06,52579,769.052919
2026-08-28T19:09:00Z,769.07,769.37,769.03,769.35,172485,769.216797
2026-08-28T19:10:00Z,769.34,769.38,769.04,769.1901,58852,769.208418
2026-08-28T19:11:00Z,769.205,769.283,769.12,769.14,208338,769.174233
2026-08-28T19:12:00Z,769.14,769.26,769.1,769.17,30252,769.168895
2026-08-28T19:13:00Z,769.16,769.16,769.05,769.1,35804,769.100906
2026-08-28T19:14:00Z,769.105,769.2564,768.99,769.2363,41276,769.136812
2026-08-28T19:15:00Z,769.22,769.265,769.11,769.165,159869,769.184514
2026-08-28T19:16:00Z,769.16,769.21,769.09,769.09,37322,769.148569
2026-08-28T19:17:00Z,769.1099,769.12,769.01,769.07,28740,769.075219
2026-08-28T19:18:00Z,769.08,769.13,768.9967,769.07,30746,769.072821
2026-08-28T19:19:00Z,769.08,769.28,769.03,769.21,41963,769.133462
2026-08-28T19:20:00Z,769.22,769.42,769.2,769.39,180510,769.316261
2026-08-28T19:21:00Z,769.41,769.52,769.28,769.37,122407,769.381246
2026-08-28T19:22:00Z,769.38,769.47,769.37,769.38,77381,769.415551
2026-08-28T19:23:00Z,769.38,769.41,769.18,769.185,72176,769.319158
2026-08-28T19:24:00Z,769.1805,769.35,769.15,769.32,42693,769.269186
2026-08-28T19:25:00Z,769.31,769.48,769.29,769.47,52192,769.350205
2026-08-28T19:26:00Z,769.47,769.51,769.39,769.51,35830,769.459989
2026-08-28T19:27:00Z,769.502,769.59,769.4595,769.57,48968,769.528713
2026-08-28T19:28:00Z,769.58,769.58,769.43,769.44,83250,769.50683
2026-08-28T19:29:00Z,769.44,769.52,769.38,769.515,40459,769.450357
2026-08-28T19:30:00Z,769.51,769.5101,769.18,769.35,65206,769.335884
2026-08-28T19:31:00Z,769.34,769.43,769.31,769.32,57324,769.359892
2026-08-28T19:32:00Z,769.345,769.46,769.28,769.42,58288,769.394035
2026-08-28T19:33:00Z,769.42,769.47,769.28,769.39,124144,769.401587
2026-08-28T19:34:00Z,769.4,769.43,769.3,769.4,90910,769.384169
2026-08-28T19:35:00Z,769.4,769.4,769.2099,769.26,77794,769.284023
2026-08-28T19:36:00Z,769.27,769.33,769.13,769.255,82569,769.236489
2026-08-28T19:37:00Z,769.255,769.31,769.2,769.28,79348,769.260274
2026-08-28T19:38:00Z,769.25,769.44,769.24,769.39,55128,769.342937
2026-08-28T19:39:00Z,769.38,769.575,769.35,769.545,95257,769.426098
2026-08-28T19:40:00Z,769.55,769.78,769.53,769.6201,79515,769.679148
2026-08-28T19:41:00Z,769.6375,769.71,769.53,769.655,225125,769.635569
2026-08-28T19:42:00Z,769.66,769.715,769.59,769.64,126596,769.656356
2026-08-28T19:43:00Z,769.65,769.75,769.59,769.75,46559,769.684904
2026-08-28T19:44:00Z,769.75,769.79,769.6,769.62,223755,769.707391
2026-08-28T19:45:00Z,769.6,769.69,769.3346,769.405,101559,769.453203
2026-08-28T19:46:00Z,769.391,769.52,769.24,769.32,124774,769.374164
2026-08-28T19:47:00Z,769.3,769.36,769.08,769.145,228165,769.214962
2026-08-28T19:48:00Z,769.145,769.145,769.02,769.0799,228276,769.079241
2026-08-28T19:49:00Z,769.08,769.28,769.03,769.24,119988,769.159112
2026-08-28T19:50:00Z,769.25,769.78,769.18,769.74,239205,769.586485
2026-08-28T19:51:00Z,769.74,769.76,769.15,769.29,276716,769.444803
2026-08-28T19:52:00Z,769.28,769.38,769.2051,769.28,158002,769.292923
2026-08-28T19:53:00Z,769.26,769.31,769.11,769.16,162899,769.207899
2026-08-28T19:54:00Z,769.17,769.43,769.16,769.36,220514,769.303542
2026-08-28T19:55:00Z,769.35,769.67,769.28,769.63,340955,769.493455
2026-08-28T19:56:00Z,769.64,769.77,769.63,769.76,248105,769.693066
2026-08-28T19:57:00Z,769.75,769.88,769.7,769.76,378587,769.779823
2026-08-28T19:58:00Z,769.77,769.8147,769.41,769.62,412880,769.649332
2026-08-28T19:59:00Z,769.61,769.75,769.07,769.34,1292176,769.341694
